archetype_1,archetype_2,mu_win,mu_n,mu_wr,ci,ok_ci,direction,mirror,playrate_1,playrate_2
Trundle/Tryndamere (FR/SI),Gwen/Sejuani (FR/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0184449597080736,0.00271780447012316
Gwen/Sejuani (FR/SI),Gwen/Katarina (NX/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00271780447012316,0.0142162079975673
Senna/Veigar (BC/SI),Ekko/Zilean (PZ/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0160407480614262,0.00571119051239167
Gnar/Tristana (BC/SI),Miss Fortune/Twisted Fate (BW/NX),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00262277634179717,0.0326421620799757
Norra/Swain (BC/NX),Gnar/Tristana (BC/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0173426334194922,0.00262277634179717
Aurelion Sol/Leona (DE/MT),Annie/Ezreal (NX/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00189105975368709,0.0246312908620952
Gnar/Tristana (BC/SI),Gwen/Katarina (NX/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00262277634179717,0.0142162079975673
Aphelios/Viktor (MT/PZ),Heimerdinger/Jayce (PZ/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0012258628554052,0.0243462064771172
Akshan/Master Yi (IO/SH),Ryze (IO/RU),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.000351604074806143,0.0736563022654706
Ryze (IO/RU),Braum/Vladimir (FR/NX),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0736563022654706,0.000950281283259845
Pyke/Rek'Sai (BW/SH),Darius (FR/NX),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.017038543408849,0.00344001824540064
Aphelios/Leona (MT/SI),Norra/Twisted Fate (BC/BW),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00332598449140946,0.016943515280523
Seraphine/Viktor (PZ/SI),Annie/Ezreal (NX/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.000722213775277482,0.0246312908620952
Aphelios/Leona (MT/SI),Garen/Jarvan IV (DE),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00332598449140946,0.0126577466930211
Seraphine/Viktor (BC/PZ),Kayle/Leona (MT/NX),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00289835791394253,0.0236715067660027
Gangplank/Sejuani (BW/FR),Aurelion Sol/Shyvana (DE/MT),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0135415082864528,0.00173901474836552
Bard/Garen (RU/DE),Teemo/Tristana (BC/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.000237570320814961,0.0564372054128022
Trundle/Tryndamere (FR/SI),Tryndamere/Viego (FR/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0184449597080736,0.000294587197810552
Ezreal/Seraphine (BC/PZ),Lissandra/Taliyah (FR/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00887562718564695,0.00444731640565608
Annie/Ezreal (NX/PZ),Aphelios/Viktor (MT/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0246312908620952,0.0012258628554052
LeBlanc (FR/NX),Ryze (IO/RU),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.000380112513303938,0.0736563022654706
Karma/Master Yi (IO/SI),Gwen/Katarina (NX/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00161547818154174,0.0142162079975673
Teemo/Tristana (BC/SI),Kindred/Leona (MT/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0564372054128022,0.000541660331458112
Elise/Gwen (NX/SI),Norra/Twisted Fate (BC/BW),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00196708225634788,0.016943515280523
Bard/Norra (BC/RU),Ekko/Zilean (PZ/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00172951193553292,0.00571119051239167
Gnar/Norra (BC/NX),Kai'Sa (DE/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0131708985859815,0.00254675383913638
Norra/Twisted Fate (BC/BW),Championless (FR/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.016943515280523,0.000513151892960316
Ornn/Vayne (DE/FR),Gnar/Tristana (BC/NX),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00111182910141402,0.0242226699102935
Ezreal/Seraphine (BC/PZ),Kayle/Zed (IO/MT),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00887562718564695,0.00826744716436065
Aphelios/Master Yi/Zoe (IO/MT),Ryze (IO/RU),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.000408620951801733,0.0736563022654706
Garen/Jarvan IV (DE),Aphelios/Seraphine (MT/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0126577466930211,0.00206211038467386
Ryze (IO/RU),Garen/Jarvan IV (DE/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0736563022654706,0.000399118138969135
Evelynn/Viego (RU/SI),Annie/Jhin (RU/NX),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00145393036338756,0.0190531397293599
Gnar/Tristana (BC/NX),Aurelion Sol/Leona (DE/MT),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0242226699102935,0.00189105975368709
Ekko/Zilean (PZ/SH),Heimerdinger/Norra (BC/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00571119051239167,0.00750722213775277
Teemo/Tristana (BC/SI),Championless (IO/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0564372054128022,0.00115934316557701
Caitlyn/Kindred (PZ/SI),Ryze (IO/RU),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.000636688459784096,0.0736563022654706
Garen/Jarvan IV (DE),Azir/Irelia (IO/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0126577466930211,0.00513151892960316
Ekko/Zilean (PZ/SH),Evelynn/Viego (RU/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00571119051239167,0.00145393036338756
Kayle/Zoe (MT/PZ),Ekko/Zilean (PZ/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00556864831990269,0.00571119051239167
Ezreal/Seraphine (BC/PZ),Kayle/Zoe (MT/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00887562718564695,0.00556864831990269
Ryze (IO/RU),Karma/Norra (BC/IO),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0736563022654706,0.000456135015964726
Kalista/Nocturne (SI),Lulu/Tristana (BC/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0142637220617303,0.00097878972175764
Garen/Jarvan IV (DE),Fizz/Twisted Fate (BC/BW),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0126577466930211,0.00141591911205717
Fizz/Twisted Fate (BC/BW),Kalista/Nocturne (NX/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00141591911205717,0.0391040748061426
Pyke/Rek'Sai (BW/SH),Garen (DE),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.017038543408849,0.000712710962444884
Garen/Jarvan IV (DE),Ekko/Jinx (PZ/SH),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0126577466930211,0.00423825452333891
Ryze (IO/RU),Ekko/Kayn (RU/PZ),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.0736563022654706,0.000237570320814961
Ekko/Zilean (PZ/SH),Elise/Jayce (PZ/SI),3,5,0.6,(14.7% - 94.7%),FALSE,POS,No,0.00571119051239167,0.00889463281131215
