mu_win,mu_n,ci,ok_ci,archetype_1,archetype_2,mu_wr,direction,mirror,playrate_1,playrate_2
0,2,(0.0% - 84.2%),FALSE,Norra/Viego (BC/SI),Ezreal/Kennen (IO/PZ),0,NEG,No,0.020350923833577,0.000412069653063937
0,2,(0.0% - 84.2%),FALSE,Maokai/Nautilus (BW/SI),Kai'Sa (DE/SH),0,NEG,No,0.010195400770969,0.00187425229296823
0,2,(0.0% - 84.2%),FALSE,Braum/Trundle (DE/FR),Gwen/Katarina (NX/SI),0,NEG,No,0.000372191944702911,0.0341884886348531
0,2,(0.0% - 84.2%),FALSE,Maokai (PZ/SI),Pyke/Rek'Sai (BW/SH),0,NEG,No,0.000704506181044796,0.0261198989764722
0,2,(0.0% - 84.2%),FALSE,Akshan/Ekko (PZ/SH),Pyke/Rek'Sai (BW/SH),0,NEG,No,6.6462847268377e-05,0.0261198989764722
0,2,(0.0% - 84.2%),FALSE,Maokai (PZ/SI),Championpile (BC/RU),0,NEG,No,0.000704506181044796,0.000265851389073508
0,2,(0.0% - 84.2%),FALSE,Braum/Trundle (DE/FR),Illaoi/Twisted Fate (BW/IO),0,NEG,No,0.000372191944702911,0.038003456068058
0,2,(0.0% - 84.2%),FALSE,Hecarim/Zed (IO/SI),Diana/Nocturne (MT/SI),0,NEG,No,0.0131330586202313,0.00111657583410873
0,2,(0.0% - 84.2%),FALSE,Tristana (BC/SI),Kalista/Nocturne (NX/SI),0,NEG,No,0.000159510833444105,0.0154060879968098
0,2,(0.0% - 84.2%),FALSE,Diana/Nocturne (MT/SI),Gwen/Katarina (NX/SI),0,NEG,No,0.00111657583410873,0.0341884886348531
0,2,(0.0% - 84.2%),FALSE,Anivia (FR/SI),Taliyah/Ziggs (BC/SH),0,NEG,No,0.0143692675794231,0.00287119500199389
0,2,(0.0% - 84.2%),FALSE,Teemo/Zoe (MT/PZ),Annie/Katarina (NX/PZ),0,NEG,No,0.000957065000664629,0.00693872125481856
0,2,(0.0% - 84.2%),FALSE,Norra/Viego (BC/SI),Nami/Seraphine (BW/PZ),0,NEG,No,0.020350923833577,0.00138242722318224
0,2,(0.0% - 84.2%),FALSE,Norra/Viego (BC/SI),Kindred/Norra (BC/SI),0,NEG,No,0.020350923833577,0.00212681111258806
